# List from http://www.wordfrequency.info/top5000.asp
# Word	POS	Frequency	Dispersion
the	a	22038615 	0.98
be	v	12545825 	0.97
and	c	10741073 	0.99
of	i	10343885 	0.97
a	a	10144200 	0.98
in	i	6996437 	0.98
to	t	6332195 	0.98
have	v	4303955 	0.97
to	i	3856916 	0.99
it	p	3872477 	0.96
I	p	3978265 	0.93
that	c	3430996 	0.97
for	i	3281454 	0.98
you	p	3081151 	0.92
he	p	2909254 	0.94
with	i	2683014 	0.99
on	i	2485306 	0.99
do	v	2573587 	0.95
say	v	1915138 	0.95
this	d	1885366 	0.96
they	p	1865580 	0.96
at	i	1767638 	0.98
but	c	1776767 	0.97
we	p	1820935 	0.94
his	a	1801708 	0.95
from	i	1635914 	0.99
that	d	1712406 	0.94
not	x	1638830 	0.98
n't	x	1619007 	0.97
by	i	1490548 	0.96
she	p	1484869 	0.91
or	c	1379320 	0.97
as	c	1296879 	0.98
what	d	1181023 	0.94
go	v	1151045 	0.93
their	a	1083029 	0.97
can	v	1022775 	0.98
who	p	1018283 	0.97
get	v	992596 	0.94
if	c	933542 	0.97
would	v	925515 	0.97
her	a	969591 	0.91
all	d	892102 	0.98
my	a	919821 	0.93
make	v	857168 	0.98
about	i	874406 	0.96
know	v	892535 	0.93
will	v	824568 	0.97
as	i	829018 	0.95
up	r	795534 	0.95
one	m	768232 	0.98
time	n	764657 	0.98
there	e	784528 	0.96
year	n	769254 	0.96
so	r	756550 	0.95
think	v	772787 	0.91
when	c	678626 	0.98
which	d	685982 	0.96
them	p	677870 	0.97
some	d	674193 	0.98
me	p	709623 	0.92
people	n	691468 	0.95
take	v	670745 	0.97
out	r	678603 	0.96
into	i	668172 	0.97
just	r	677711 	0.94
see	v	663645 	0.96
him	p	677707 	0.92
your	a	659622 	0.94
come	v	628254 	0.95
could	v	617932 	0.96
now	r	605997 	0.94
than	c	579757 	0.97
like	i	568850 	0.96
other	j	547799 	0.97
how	r	538893 	0.97
then	r	543977 	0.95
its	a	539719 	0.96
our	a	525107 	0.97
two	m	511027 	0.99
more	r	517536 	0.97
these	d	513864 	0.95
want	v	514972 	0.95
way	n	470401 	0.98
look	v	491707 	0.93
first	m	463566 	0.98
also	r	464606 	0.96
new	j	435993 	0.97
because	c	438539 	0.96
day	n	432773 	0.97
more	d	420170 	0.97
use	v	420781 	0.96
no	a	402222 	0.98
man	n	409760 	0.95
find	v	395203 	0.98
here	r	412315 	0.93
thing	n	400724 	0.94
give	v	384503 	0.98
many	d	385348 	0.97
well	r	411776 	0.91
only	r	379574 	0.98
those	d	378007 	0.97
tell	v	388155 	0.94
one	p	369553 	0.98
very	r	391821 	0.92
her	p	397950 	0.89
even	r	361067 	0.98
back	r	367844 	0.94
any	d	348100 	0.98
good	j	353973 	0.96
woman	n	341422 	0.98
through	i	340921 	0.98
us	p	351088 	0.95
life	n	333085 	0.98
child	n	333849 	0.97
there	r	333433 	0.93
work	v	318210 	0.98
down	r	329409 	0.94
may	v	324569 	0.95
after	i	311902 	0.98
should	v	310265 	0.98
call	v	308050 	0.97
world	n	303506 	0.97
over	i	300349 	0.98
school	n	304183 	0.95
still	r	296953 	0.97
try	v	294023 	0.96
in	r	285035 	0.98
as	r	281483 	0.98
last	m	289843 	0.95
ask	v	284632 	0.96
need	v	276744 	0.98
too	r	280396 	0.96
feel	v	275214 	0.95
three	m	266744 	0.98
when	r	268219 	0.97
state	n	272193 	0.94
never	r	262584 	0.96
become	v	259102 	0.97
between	i	264158 	0.94
high	j	255936 	0.96
really	r	263414 	0.91
something	p	254910 	0.94
most	r	246360 	0.96
another	d	240646 	0.98
much	d	244507 	0.97
family	n	243267 	0.97
own	d	240452 	0.98
out	i	242443 	0.96
leave	v	240482 	0.96
put	v	237480 	0.96
old	j	236577 	0.96
while	c	234555 	0.97
mean	v	242198 	0.93
on	r	236980 	0.95
keep	v	231760 	0.96
student	n	255047 	0.88
why	r	235442 	0.95
let	v	240300 	0.93
great	j	225005 	0.97
same	d	222836 	0.98
big	j	227169 	0.96
group	n	229435 	0.93
begin	v	218617 	0.98
seem	v	219627 	0.97
country	n	223138 	0.95
help	v	216082 	0.98
talk	v	229429 	0.92
where	c	213744 	0.98
turn	v	221392 	0.94
problem	n	217728 	0.96
every	a	212739 	0.97
start	v	213952 	0.96
hand	n	225247 	0.91
might	v	209059 	0.98
American	j	214968 	0.95
show	v	208037 	0.98
part	n	207861 	0.98
about	r	208550 	0.97
against	i	204379 	0.98
place	n	202427 	0.98
over	r	208260 	0.95
such	d	207065 	0.95
again	r	206895 	0.94
few	d	197266 	0.97
case	n	200773 	0.95
most	d	197086 	0.96
week	n	199268 	0.95
company	n	203345 	0.93
where	r	194427 	0.96
system	n	200175 	0.94
each	d	196522 	0.95
right	r	205250 	0.9
program	n	195985 	0.93
hear	v	196070 	0.93
so	c	191893 	0.95
question	n	192070 	0.95
during	i	190729 	0.95
work	n	187533 	0.97
play	v	188328 	0.96
government	n	191314 	0.94
run	v	187325 	0.96
small	j	185463 	0.97
number	n	186005 	0.96
off	r	183854 	0.95
always	r	179474 	0.97
move	v	179388 	0.97
like	v	182341 	0.95
night	n	184511 	0.93
live	v	176144 	0.98
Mr	n	188555 	0.91
point	n	177481 	0.97
believe	v	178397 	0.96
hold	v	177368 	0.97
today	r	183724 	0.93
bring	v	174366 	0.98
happen	v	182714 	0.93
next	m	176306 	0.96
without	i	172448 	0.98
before	i	172769 	0.98
large	j	175611 	0.96
all	r	177317 	0.93
million	m	176895 	0.93
must	v	171043 	0.96
home	n	170527 	0.96
under	i	164766 	0.98
